hhid,commid,wave,region,urban_rural,hh_size,dwelling_size,drinking_water_source,pay_for_drinking_water,toilet,bicycle,motorcycle,car,bw_tv,color_tv,washing_machine,refrigerator,air_conditioner,sewing_machine,electric_fan,wall_clock,camera,microwave,electric_cooking_pot,pressure_cooker,computer,telephone,dvd,cellphone,satellite_dish
111101001,111101,2011,11,urban,,107,house_tap,1,1,0,0,0,,1,1,1,1,1,1,,1,1,1,0,1,1,0,1,0
111101002,111101,2011,11,urban,,90,house_tap,1,1,0,0,0,,1,1,1,1,0,0,,1,1,1,0,1,1,1,1,0
111101003,111101,2011,11,urban,,107,house_tap,1,1,0,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,1,0,0
111101004,111101,2011,11,urban,,89,house_tap,1,1,1,0,1,,1,1,1,1,0,0,,1,1,1,0,1,1,0,1,0
111101005,111101,2011,11,urban,,40,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,0,1,0
111101006,111101,2011,11,urban,,103,house_tap,1,1,0,0,0,,1,1,1,1,1,1,,1,1,1,1,0,1,1,1,0
111101007,111101,2011,11,urban,,38,house_tap,1,1,0,0,0,,1,1,1,1,0,1,,0,0,1,1,0,1,0,1,0
111101008,111101,2011,11,urban,,109,house_tap,1,1,0,0,0,,1,1,1,1,0,0,,1,1,1,1,0,1,0,1,0
111101009,111101,2011,11,urban,,105,house_tap,1,1,1,0,1,,1,1,1,1,0,0,,1,1,1,1,1,1,1,1,0
111101010,111101,2011,11,urban,,75,house_tap,1,1,0,0,1,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111101011,111101,2011,11,urban,,117,house_tap,1,1,0,0,1,,1,1,1,1,0,0,,1,1,1,1,1,1,1,1,0
111101012,111101,2011,11,urban,,130,house_tap,1,1,1,0,1,,1,1,1,1,0,1,,1,0,1,0,1,1,1,1,0
111101013,111101,2011,11,urban,,80,house_tap,1,1,0,0,1,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,1
111101014,111101,2011,11,urban,,100,house_tap,1,1,0,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111101015,111101,2011,11,urban,,104,house_tap,1,1,0,0,1,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111101016,111101,2011,11,urban,,140,house_tap,1,1,0,0,1,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111101017,111101,2011,11,urban,,77,house_tap,1,1,0,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111101018,111101,2011,11,urban,,110,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111101019,111101,2011,11,urban,,70,house_tap,1,1,1,0,1,,1,1,1,1,0,1,,1,1,1,0,1,1,0,1,0
111101020,111101,2011,11,urban,,80,house_tap,1,1,0,0,1,,1,1,1,1,0,1,,1,1,1,1,1,1,0,1,0
111102001,111102,2011,11,urban,,60,house_tap,1,1,1,0,1,,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,0
111102002,111102,2011,11,urban,,58,house_tap,1,1,1,0,1,,1,1,1,1,0,1,,1,1,1,0,0,1,1,1,0
111102003,111102,2011,11,urban,,40,house_tap,1,1,1,0,1,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111102004,111102,2011,11,urban,,45,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111102005,111102,2011,11,urban,,55,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111102006,111102,2011,11,urban,,80,house_tap,1,1,1,0,1,,1,1,1,1,0,0,,1,1,1,1,1,1,1,1,0
111102007,111102,2011,11,urban,,4,house_tap,1,1,1,0,0,,1,1,1,1,0,0,,1,0,1,0,1,0,0,1,0
111102008,111102,2011,11,urban,,55,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,0,1,1,1,0
111102009,111102,2011,11,urban,,350,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,0,0,1,1,0,1,0,1,0
111102010,111102,2011,11,urban,,32,house_tap,1,1,0,0,0,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111102011,111102,2011,11,urban,,37,house_tap,1,1,1,0,0,,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,0
111102012,111102,2011,11,urban,,20,house_tap,0,0,1,0,0,,1,1,1,1,0,0,,0,0,1,0,0,1,0,1,0
111102013,111102,2011,11,urban,,60,house_tap,1,1,1,0,0,,1,1,1,0,0,1,,1,1,1,0,1,1,1,1,0
111102014,111102,2011,11,urban,,28,house_tap,1,1,1,0,0,,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,0
111102015,111102,2011,11,urban,,80,house_tap,1,1,1,0,1,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111102016,111102,2011,11,urban,,50,house_tap,1,1,1,0,1,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,0
111102017,111102,2011,11,urban,,30,house_tap,1,1,1,1,1,,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,1
111102018,111102,2011,11,urban,,23,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,0,0,0,1,0,1,0,1,0
111102019,111102,2011,11,urban,,20,house_tap,1,1,1,0,0,,1,1,1,1,0,1,,1,1,1,1,1,0,1,1,0
111102020,111102,2011,11,urban,,70,house_tap,1,1,1,0,0,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0
